City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ubari,0,LY,1593578020,22,26.59,12.78,26.63,1.88
Bengkulu,42,ID,1593577611,57,-3.8,102.27,29.67,1.5
Frontera,69,MX,1593578021,52,26.93,-101.45,30.56,0.61
Zhengjiatun,78,CN,1593578022,31,43.51,123.51,30.47,5.92
Tongling,98,CN,1593578022,70,30.95,117.78,30.24,2.71
Olinalá,83,MX,1593578022,92,17.83,-98.85,17.94,2.25
Mersing,20,MY,1593578023,83,2.43,103.84,29,2.6
Pangnirtung,25,CA,1593578023,62,66.15,-65.71,7.04,1.04
Águilas,0,ES,1593578023,44,37.41,-1.58,25.56,3.13
Kamenka,79,RU,1593578024,57,51.32,42.77,21.11,5.81
Nueve de Julio,16,AR,1593578024,99,-35.44,-60.88,5,1.79
Emet,0,TR,1593578025,51,39.34,29.26,20.48,2.31
Bathsheba,20,BB,1593578025,83,13.22,-59.52,27,4.6
Vardø,75,NO,1593578025,93,70.37,31.11,9,6.7
Businga,100,CD,1593578026,97,3.33,20.88,21.3,0.86
Mindelo,40,CV,1593578026,69,16.89,-24.98,24,4.6
Sisimiut,100,GL,1593578026,59,66.94,-53.67,9.6,4.6
Ahipara,17,NZ,1593578027,76,-35.17,173.17,12.5,6.67
Churapcha,0,RU,1593578027,21,62,132.43,27.5,3.88
Buchanan,75,LR,1593578028,94,5.88,-10.05,24,2.85
Sola,75,VU,1593578028,61,-13.88,167.55,25,3.1
Murray Bridge,28,AU,1593578028,52,-35.12,139.27,19.44,9.1
Kurisove,0,UA,1593578029,77,46.97,30.96,21,4
Tingo María,24,PE,1593578029,83,-9.29,-76.01,20.05,0.61
Bor,20,RU,1593578030,62,56.36,44.07,16.11,6
Oddur,68,SO,1593578030,65,4.12,43.89,23.28,10.86
Onguday,89,RU,1593578031,51,50.75,86.15,22.14,0.42
Nacala,78,MZ,1593578031,78,-14.54,40.67,21.96,5.78
Nhulunbuy,75,AU,1593578031,58,-12.23,136.77,29,6.7
Padang,21,ID,1593578032,59,-0.95,100.35,30.12,2.42
Tateyama,75,JP,1593578032,94,34.98,139.87,24.44,9.3
Raghunathpur,17,IN,1593577821,75,23.55,86.67,34.44,2.79
Santa Cruz de la Sierra,75,BO,1593577764,64,-17.8,-63.17,20,5.1
São Filipe,18,CV,1593578033,79,14.9,-24.5,22.81,2.29
Narrabri,0,AU,1593577759,40,-30.32,149.78,21,4.1
Marzuq,100,YE,1593578034,30,14.4,46.47,30.63,3.38
Tiksi,97,RU,1593578034,54,71.69,128.87,10.94,3.51
Malangali,75,TZ,1593578034,74,-8.57,34.85,15.22,7.4
Brae,92,GB,1593578035,81,60.4,-1.35,9,4.6
Valdivia,90,CL,1593578036,100,-39.81,-73.25,10,3.6
Yanam,40,IN,1593578036,79,16.73,82.22,30,2.1
Guarda,10,PT,1593578036,92,40.54,-7.27,15.56,0.45
Ilulissat,100,GL,1593578037,75,69.22,-51.1,6,1.5
Porirua,99,NZ,1593578037,68,-41.13,174.85,8.33,2.24
Soubre,100,CI,1593578037,97,5.79,-6.61,20.26,0.98
Cap Malheureux,5,MU,1593577864,76,-19.98,57.61,22.22,1.34
Nokaneng,0,BW,1593578038,68,-19.67,22.27,8.39,3.6
Puerto Madero,83,MX,1593578038,78,14.72,-92.42,27.08,1.06
Antalaha,9,MG,1593578039,76,-14.9,50.28,21.65,3.07
Gogrial,98,SS,1593578039,82,8.53,28.1,23.66,1.58
Lorengau,69,PG,1593578039,71,-2.02,147.27,29.1,2.58
Melilla,20,ES,1593577881,88,35.29,-2.94,23,0.5
Sinnamary,100,GF,1593578040,89,5.38,-52.95,24.89,2.27
Mwingi,59,KE,1593578041,75,-0.93,38.06,19.37,2.56
Rio Grande,100,BR,1593577753,85,-32.03,-52.1,11.67,6.26
